K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
163-616-379,169-608-365,3.5706,10.0288,0,13.5472,1,0.0522,,,
20-566-93,950-555-49,8.8153,3.6319,0,11.7834,1,0.6638,,,
268-528-482,123-408-228,3.1866,4.9242,0,8.1082,1,0.0026,,,
764-126-759,962-265-595,3.3411,3.4325,0,6.7825,0,-0.0089,,,
180-557-35,315-995-928,3.537,3.3642,0,6.9232,0,-0.022,,,
82-724-170,606-265-439,21.6149,3.5222,0,26.141,0,-1.0039,,,
16-155-307,361-595-233,5.8239,4.5281,0,10.3425,1,0.0095,,,
155-186-608,186-83-523,4.5685,3.5431,1.2365,6.8555,1,0.0196,,,
661-83-659,764-404-47,3.9059,4.8507,0,8.734,1,0.0226,,,
133-407-6,83-155-13,21.5629,9.7989,0,27.1965,1,4.1653,,,
436-488-709,116-553-76,4.207,5.0345,0,9.2371,1,0.0044,,,
83-106-469,319-117-18,4.7023,34.7167,0,39.4192,0,-0.0002,,,
331-55-300,236-408-573,22.0514,4.484,0,25.0197,1,1.5157,,,
562-661-5,142-67-108,5.3503,10.037,0,15.4121,0,-0.0248,,,
364-379-482,904-294-402,3.3374,4.0404,0,7.3677,1,0.0101,,,
358-616-75,241-595-493,21.3311,7.4159,0,28.3437,1,0.4033,,,
323-20-661,488-23-809,3.8753,8.9719,0,13.1806,0,-0.3334,,,
16-364-439,251-55-488,4.5506,21.7078,0,25.7854,1,0.473,,,
67-233-27,493-497-315,10.328,3.2998,0,13.6635,0,-0.0357,,,
148-11-358,265-815-950,5.8289,3.7215,0,9.5383,1,0.0121,,,
186-929-338,227-133-747,8.1061,4.1074,0,12.5828,0,-0.3693,,,
635-928-256,408-116-333,3.5035,19.3253,0,22.5886,1,0.2402,,,
928-716-187,52-19-93,4.6369,8.9671,0,13.9921,0,-0.3881,,,
436-621-361,251-6-648,4.9237,20.0348,0,26.0504,0,-1.0919,,,
365-175-159,183-372-2,3.4318,20.3871,0,23.5,1,0.3189,,,
315-104-123,6-366-8,3.2224,33.365,0,36.2159,1,0.3715,,,
209-611-888,19-247-430,3.9193,3.9118,0,7.832,0,-0.0009,,,
366-704-159,2-110-180,11.2561,19.9353,0,29.6706,1,1.5208,,,
272-5-52,626-76-746,6.4673,4.7428,0,11.2203,0,-0.0102,,,
979-301-815,207-43-924,3.527,9.7765,0,13.085,1,0.2185,,,
995-137-818,123-931-372,9.9593,4.3448,0,15.1631,0,-0.859,,,
342-483-148,143-21-404,5.6262,18.8848,0,23.7724,1,0.7386,,,
123-73-483,830-557-439,5.2826,3.8523,0,9.1309,1,0.004,,,
217-972-924,439-929-722,7.6333,8.359,0,15.6366,1,0.3557,,,
746-32-30,175-616-112,10.984,22.4571,0,30.232,1,3.2091,,,
283-113-208,457-137-11,11.2552,6.3976,0,17.5762,1,0.0766,,,
